=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7gDoB2JJALFgIzg7j5VmnGU04QAescuAdAEwBWOtHhJIEybQQATbgBcATgFcAptjwEmFAtIhz4StRvrVtLXe3Bd4fYQlEJEAdldvMdfPz1Ru4yRIemgDM0qbkYfiCkVgAbDHOMQAcPjZwVLy4JsK4YcJsCMLedMKhJVgR5dFWjkho6HQA7tz82VjO5vi5NX6IAYF0BnBG6uVJ5sGWcJzcfM72vmIo9chB4MKxndR57VsFM-D8mW3jzCSTNAC6WABQwOBUWmcWBQ9mz6ypswILtX39YSGIxMjyIHym+gUKlGCEejHB3Wm1m+v16K1WTW4GUEIKwxSRf360FxZVhFTCj2qZPidEeiSsaQyWTosSm4FZr1Z+PZWFJPMqCFZVJ5NKRzXg2JMrI6z1BPiB0KlWFOTEmiIOcCO+AcvTc7kxEp+dAAFi0mt5DQtjRb0nQODaALR8IQmZy7WXbBlY3iopbotaslXMC7ga53cD8J5MT50SPw6OepFpZ2+pxEwFQ4yxqPMSjq8AKrMIOPmPNfWw+kRolZhcXpXjzEyR-EQQkApu8sKRgURrDCyOi3v0pPe5kIN2I8Bu15u7luvluntuqmt3V64fgOtHF10N0yphynpLdODTMwqfKiYQ5GGscXzYe-Y3zUN1N1Guuy-PENh+5q0uJuAFwAU+yZGjqx4AqehiKnQ-4IvKZ4mMBCFehWb7LPUtYtD8yF4uYkb5m2ARrJMPaTMKkyDpMG6TCkaH1neSRssxrzMdyzF8sx5DmDkPh-P6Bovo2dDMQ+TB8UeaZQbISGiV+qrXmBIkINxvGJqufo1kJGQqeAYnqWx7oSRpz4piYzFBuc2y-uAeYgWErAOQxKZVpBJHQcMsEIPZqFIoW55OX5Gp2G5TiCQgdYZDuPl4j4UW4XQlCkhACUxXZ5JWGlOJJX25jMfmW6JbF+7MAV5aMUJRx6QAnO8TCsoV3rpXV-DmBO8XNTlCB1cE7XXtlJh1eJzAdVlXVDcZo3XsRUiecCdB1VZxBqhVcwLAlelqc8RT8dWWEWXE6kcVNJC7S5xXgEtV5XLcYDPuQr46Zdkxtc8cZhJMfXvaZjKVpFOHpZQgj5aZg25aVJCsRVTLPS1OYkBynWWpN8bMEji34c805hL1-WvHVPHY4Bw347jp3EDjv4akk-2bhNuUg887GOUdzNxeNhpAxTLOXJcQA
13:35:40: [INFO] Add D12 footprint
13:35:40: [INFO] Add SW13 footprint
13:35:40: [INFO] Add D13 footprint
13:35:40: [INFO] Add SW14 footprint
13:35:40: [INFO] Add D14 footprint
13:35:40: [INFO] Add SW15 footprint
13:35:40: [INFO] Add D15 footprint
13:35:40: [INFO] Add SW16 footprint
13:35:40: [INFO] Add D16 footprint
13:35:40: [INFO] Add SW17 footprint
13:35:40: [INFO] Add D17 footprint
13:35:40: [INFO] Add SW18 footprint
13:35:40: [INFO] Add D18 footprint
13:35:40: [INFO] Add SW19 footprint
13:35:40: [INFO] Add D19 footprint
13:35:40: [INFO] Add SW20 footprint
13:35:40: [INFO] Add D20 footprint
13:35:40: [INFO] Add SW21 footprint
13:35:40: [INFO] Add D21 footprint
13:35:40: [INFO] Add SW22 footprint
13:35:41: [INFO] Add D22 footprint
13:35:41: [INFO] Add SW23 footprint
13:35:41: [INFO] Add D23 footprint
13:35:41: [INFO] Add SW24 footprint
13:35:41: [INFO] Add D24 footprint
13:35:41: [INFO] Add SW25 footprint
13:35:41: [INFO] Add D25 footprint
13:35:41: [INFO] Add SW26 footprint
13:35:41: [INFO] Add D26 footprint
13:35:41: [INFO] Add SW27 footprint
13:35:41: [INFO] Add D27 footprint
13:35:41: [INFO] Add SW28 footprint
13:35:41: [INFO] Add D28 footprint
13:35:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:41: [INFO] Add ST28 footprint
13:35:41: [INFO] Add SW28a footprint
13:35:41: [INFO] Add SW29 footprint
13:35:41: [INFO] Add D29 footprint
13:35:41: [INFO] Add SW30 footprint
13:35:41: [INFO] Add D30 footprint
13:35:41: [INFO] Add SW31 footprint
13:35:41: [INFO] Add D31 footprint
13:35:41: [INFO] Add SW32 footprint
13:35:41: [INFO] Add D32 footprint
13:35:41: [INFO] Add SW33 footprint
13:35:41: [INFO] Add D33 footprint
13:35:41: [INFO] Add SW34 footprint
13:35:41: [INFO] Add D34 footprint
13:35:41: [INFO] Add SW35 footprint
13:35:41: [INFO] Add D35 footprint
13:35:41: [INFO] Add SW36 footprint
13:35:41: [INFO] Add D36 footprint
13:35:41: [INFO] Add SW37 footprint
13:35:41: [INFO] Add D37 footprint
13:35:41: [INFO] Add SW38 footprint
13:35:41: [INFO] Add D38 footprint
13:35:41: [INFO] Add SW39 footprint
13:35:41: [INFO] Add D39 footprint
13:35:41: [INFO] Add SW40 footprint
