=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuADFngDoB2ppAjFgEzg4TTzLra4EXlklW33gAesOHgB01AKw5wAYyHgAxAENlKurgDOAWzlIA9ggD6aaRQrhW+Qp0pYOXa1zR41ELXPNT2Dqmb6D4ohIWBMT23IRqlnacVM5+QqKSuLLwCgDsGZkebDQuMnLy0kXF2ZYAzJEEACyVWOK1AGy1abUAHHn+cBQieBaScbiSvoO5UpIVY1g1k-V8KbhKKsqRAO5C1H1YaQ4hkZKtDtQR8QEiSfmphcVFpZINO7Z7Ww-DEPMKS8tSbql6hsamW5YA5hI7RMKcNBmAC6WAAUGALgtrjdvtpUpFGIhUJgpLFvKM4AwhMxcbgfATeESBAkxOd3oslqV8WEfJEKazHidhHSLCyYsdybYCQMIJ1ElI1vBuuI+YS3gUUbI5RMhdMhbMhU08VsOkJur0pA1BeBjcNTYSLaqLeqLZqLdrqVKumcLMaWnMCp9FKVje1YQiFZclZiSTiLEdQgKqcSmOGpGDKXrThIpAzvaVIwTzYnOa8aSnZQmrJyBuBcwLRQWeednd00kXcEcY0iFCGI1hrUdbUd7UdHeXddyDRY0iax+ax1TwGPrWPbWPNUGFpkspL1rypGOPdT059SmP-fDEQyQ1IsaSLGUS9G8hf47hr+CbC3xXS01791eb1w2VIn9myY8kE-4-jYZYAaWQESrgzrUJuj7yq2VzXKU162te9rXgO147uA17tMOPQWK0JqkeapHTqR1qkeqy4fPu67SiIDYkVgA6kXhpFHoGyFnrg94sFIVRgeELaCWS4Aic+YnQe+ySfkyFgiVGv5crg0mAdygSNlJomxJEmlQdpZxMS6IEaUhdYIXpqoQNZFl6XR4AObpIlLi5G6OSJO5ivqPRmfBrFSAAnOp9n+Y5YUtq5FhhXZ1aJHF7GRGFeFhf60JAA
13:35:59: [INFO] Add D24 footprint
13:35:59: [INFO] Add SW25 footprint
13:35:59: [INFO] Add D25 footprint
13:35:59: [INFO] Add SW26 footprint
13:35:59: [INFO] Add D26 footprint
13:35:59: [INFO] Add SW27 footprint
13:35:59: [INFO] Add D27 footprint
13:35:59: [INFO] Add SW28 footprint
13:35:59: [INFO] Add D28 footprint
13:35:59: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:59: [INFO] Add ST28 footprint
13:35:59: [INFO] Add SW29 footprint
13:35:59: [INFO] Add D29 footprint
13:36:00: [INFO] Add SW30 footprint
13:36:00: [INFO] Add D30 footprint
13:36:00: [INFO] Add SW31 footprint
13:36:00: [INFO] Add D31 footprint
13:36:00: [INFO] Add SW32 footprint
13:36:00: [INFO] Add D32 footprint
13:36:00: [INFO] Add SW33 footprint
13:36:00: [INFO] Add D33 footprint
13:36:00: [INFO] Add SW34 footprint
13:36:00: [INFO] Add D34 footprint
13:36:00: [INFO] Add SW35 footprint
13:36:00: [INFO] Add D35 footprint
13:36:00: [INFO] Add SW36 footprint
13:36:00: [INFO] Add D36 footprint
13:36:00: [INFO] Add SW37 footprint
13:36:00: [INFO] Add D37 footprint
13:36:00: [INFO] Add SW38 footprint
13:36:00: [INFO] Add D38 footprint
13:36:00: [INFO] Add SW39 footprint
13:36:00: [INFO] Add D39 footprint
13:36:00: [INFO] Add SW40 footprint
13:36:00: [INFO] Add D40 footprint
13:36:00: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:00: [INFO] Add ST40 footprint
13:36:00: [INFO] Add SW41 footprint
13:36:00: [INFO] Add D41 footprint
13:36:00: [INFO] Add SW42 footprint
13:36:00: [INFO] Add D42 footprint
13:36:00: [INFO] Add SW43 footprint
13:36:00: [INFO] Add D43 footprint
13:36:00: [INFO] Add SW44 footprint
13:36:00: [INFO] Add D44 footprint
13:36:00: [INFO] Add SW45 footprint
13:36:01: [INFO] Add D45 footprint
13:36:01: [INFO] Add SW46 footprint
13:36:01: [INFO] Add D46 footprint
13:36:01: [INFO] Add SW47 footprint
13:36:01: [INFO] Add D47 footprint
13:36:01: [INFO] Add SW48 footprint
13:36:01: [INFO] Add D48 footprint
