=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuADFngDoB2ppBATODhNPMutrgQIzlklU1wQAesOHgB0lAKw5wAY0HgAxAEMlynuADOAW1lIA9ggD6aKa1bhm+QhwpZ2nK5zR4eETbLOS29ts-AD4I8XMCYjsuQlVPUOCfPyFhCVwZeHkAdjT09xYsalppWTkpQqLMiwBmCKwAFgqxCoA2CpSKgA4YwVZhPHMJJ0kJUz7s1QlywerB2tyk3EVlJVUAd0FKbqwU+1Lwweb7Hrb-YRSxVbqNm2G1s4HeX2XOyVdk3QMjExKJHdD++3s0a-5BAEEnlkgUioVVI9cKp6IhUJhtrshgBdLAAKDAUEEjARuFYliiQ1ysJx5nxtg43FysSBkmm8jm8zJBMp50k5K8bJuNNEx3ZLM40X5FMFW25gPikiW8A6fLxRJu9LB4JK+NG8vG8sm8oa-Ka1PanXMdTF4BN1zNCst6stmst2stupu0rgsuNl1ClTFECVjIUJRNnw4ewN8Eo90S+XSGSlhvEkgAFsspdQZZLcAnU67JHwswBaIHmFIejhe-63NPA32MgNYIOcfr7OLxyOg8EQyQk+Hu+ukCTUVEYujY7uSSgC6w5G5dphjmycqcAg4tkEzP0lcchVkW8ci6zlnmBOdb0W9XC7zlnpdxYEujpHczjxer+TtmSPrA28d28cO8dO8Bx31cU0y6SRizPcBiwtYspygz9VGLO1i21H0o2jYDwBdcMj1wYt1k9b0X1mOYSmLXsSBDEDXQjYi3zIrBTkIg87iOOl8nXIs6yRFjlyrfJ6M7EdZzw7ivhRdFMRnXFwE2E9Jx8aTzE2PcwmfQ9+NBTjJDkzkLRUvSm0LHSJzCSCDMJK8KxvWMw15ZTsnsfErKVeiHLtTYHU2ADNkwzZWlDGiwNwZpTVCi1Qrg0KbVCyp7BNFyOJrWyaIfSRQqYjgEtUUKCKysKxODIieTY1sZjc9Kqnirk0K05LcGww45XADLqt45tmtCijG0C2kytfdsYWEmSuqRAdJOHBhR1wL15LUxThvMMsFyM3l2Lq0iltM7xJGWwl2uMmbttNPbWSsnlbzjZqvWfO97N2hDcju3DwC9TUIGe66sDEexNx8RqXq9PLOD+wKOgIBrWOagBOedQlCyDYcoewINUWHShR01Ybi0JUckWHMs4PHcFh4HSGJ8BYe64qJVKujBpS+9Oqq0ITWfatNsqwnSDZnKS04XnevuknCobGrrL6+mVSEqaRMp0W+wkodrOLfqSJURnhdkxzQnJVRNgx3XxdiWUUpwr6ftCXd-qurayZIa2wdoz7zFhubwptytXbhjgPae238Z1jhoM9miXvRzGDvib3uZIEPA-tkPB0xE2RDpl2Hstjgn1UL1Y5z-200B-nSAL6jSiazXw6DomFQ+gORcN4O66whv5dj2DQ46avE5RZEgA
13:35:41: [INFO] Add SW12 footprint
13:35:42: [INFO] Add D12 footprint
13:35:42: [INFO] Add SW13 footprint
13:35:42: [INFO] Add D13 footprint
13:35:42: [INFO] Add SW14 footprint
13:35:42: [INFO] Add D14 footprint
13:35:42: [INFO] Add SW15 footprint
13:35:42: [INFO] Add D15 footprint
13:35:42: [INFO] Add SW16 footprint
13:35:42: [INFO] Add D16 footprint
13:35:42: [INFO] Add SW17 footprint
13:35:42: [INFO] Add D17 footprint
13:35:42: [INFO] Add SW18 footprint
13:35:42: [INFO] Add D18 footprint
13:35:42: [INFO] Add SW19 footprint
13:35:42: [INFO] Add D19 footprint
13:35:42: [INFO] Add SW20 footprint
13:35:42: [INFO] Add D20 footprint
13:35:42: [INFO] Add SW21 footprint
13:35:42: [INFO] Add D21 footprint
13:35:42: [INFO] Add SW22 footprint
13:35:42: [INFO] Add D22 footprint
13:35:42: [INFO] Add SW23 footprint
13:35:42: [INFO] Add D23 footprint
13:35:42: [INFO] Add SW24 footprint
13:35:42: [INFO] Add D24 footprint
13:35:42: [INFO] Add SW25 footprint
13:35:42: [INFO] Add D25 footprint
13:35:42: [INFO] Add SW26 footprint
13:35:42: [INFO] Add D26 footprint
13:35:42: [INFO] Add SW27 footprint
13:35:42: [INFO] Add D27 footprint
13:35:42: [INFO] Add SW28 footprint
13:35:42: [INFO] Add D28 footprint
13:35:42: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:42: [INFO] Add ST28 footprint
13:35:43: [INFO] Add SW28a footprint
13:35:43: [INFO] Add SW29 footprint
13:35:43: [INFO] Add D29 footprint
13:35:43: [INFO] Add SW30 footprint
13:35:43: [INFO] Add D30 footprint
13:35:43: [INFO] Add SW31 footprint
13:35:43: [INFO] Add D31 footprint
13:35:43: [INFO] Add SW32 footprint
13:35:43: [INFO] Add D32 footprint
13:35:43: [INFO] Add SW33 footprint
13:35:43: [INFO] Add D33 footprint
13:35:43: [INFO] Add SW34 footprint
13:35:43: [INFO] Add D34 footprint
13:35:43: [INFO] Add SW35 footprint
13:35:43: [INFO] Add D35 footprint
13:35:43: [INFO] Add SW36 footprint
13:35:43: [INFO] Add D36 footprint
13:35:43: [INFO] Add SW37 footprint
13:35:43: [INFO] Add D37 footprint
13:35:43: [INFO] Add SW38 footprint
13:35:43: [INFO] Add D38 footprint
13:35:43: [INFO] Add SW39 footprint
13:35:43: [INFO] Add D39 footprint
13:35:43: [INFO] Add SW40 footprint
13:35:43: [INFO] Add D40 footprint
13:35:43: [INFO] Add SW40a footprint
13:35:43: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:43: [INFO] Add ST40a footprint
13:35:43: [INFO] Add SW41 footprint
13:35:43: [INFO] Add D41 footprint
13:35:43: [INFO] Add SW42 footprint
13:35:43: [INFO] Add D42 footprint
13:35:43: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:43: [INFO] Add ST42 footprint
13:35:43: [INFO] Add SW42a footprint
13:35:43: [INFO] Add SW43 footprint
13:35:43: [INFO] Add D43 footprint
13:35:44: [INFO] Add SW44 footprint
13:35:44: [INFO] Add D44 footprint
13:35:44: [INFO] Add SW45 footprint
13:35:44: [INFO] Add D45 footprint
13:35:44: [INFO] Add SW46 footprint
13:35:44: [INFO] Add D46 footprint
13:35:44: [INFO] Add SW47 footprint
13:35:44: [INFO] Add D47 footprint
13:35:44: [INFO] Add SW48 footprint
13:35:44: [INFO] Add D48 footprint
13:35:44: [INFO] Add SW49 footprint
13:35:44: [INFO] Add D49 footprint
13:35:44: [INFO] Add SW50 footprint
13:35:44: [INFO] Add D50 footprint
13:35:44: [INFO] Add ST50 footprint
13:35:44: [INFO] Add SW50a footprint
13:35:44: [INFO] Add SW51 footprint
13:35:44: [INFO] Add D51 footprint
13:35:44: [INFO] Add SW51a footprint
13:35:44: [INFO] Add SW52 footprint
13:35:44: [INFO] Add D52 footprint
13:35:44: [INFO] Add SW53 footprint
13:35:44: [INFO] Add D53 footprint
13:35:44: [INFO] Add SW54 footprint
13:35:44: [INFO] Add D54 footprint
13:35:44: [INFO] Add SW55 footprint
13:35:44: [INFO] Add D55 footprint
13:35:44: [INFO] Add SW56 footprint
13:35:44: [INFO] Add D56 footprint
13:35:44: [INFO] Add SW57 footprint
13:35:44: [INFO] Add D57 footprint
13:35:44: [INFO] Add SW58 footprint
13:35:44: [INFO] Add D58 footprint
13:35:44: [INFO] Add SW59 footprint
13:35:44: [INFO] Add D59 footprint
13:35:44: [INFO] Add SW60 footprint
13:35:45: [INFO] Add D60 footprint
13:35:45: [INFO] Add SW61 footprint
13:35:45: [INFO] Add D61 footprint
13:35:45: [INFO] Add SW62 footprint
13:35:45: [INFO] Add D62 footprint
13:35:45: [INFO] Add SW63 footprint
13:35:45: [INFO] Add D63 footprint
13:35:45: [INFO] Add SW64 footprint
13:35:45: [INFO] Add D64 footprint
13:35:45: [INFO] Add SW65 footprint
13:35:45: [INFO] Add D65 footprint
13:35:45: [INFO] Add SW66 footprint
13:35:45: [INFO] Add D66 footprint
13:35:45: [INFO] Add SW67 footprint
13:35:45: [INFO] Add D67 footprint
13:35:45: [INFO] Add SW68 footprint
13:35:45: [INFO] Add D68 footprint
13:35:45: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:45: [INFO] Add ST68 footprint
13:35:45: [INFO] Add SW68a footprint
13:35:45: [INFO] Add ST68a footprint
13:35:45: [INFO] Add SW69 footprint
13:35:45: [INFO] Add D69 footprint
13:35:45: [INFO] Add SW70 footprint
13:35:45: [INFO] Add D70 footprint
13:35:45: [INFO] Add SW71 footprint
13:35:45: [INFO] Add D71 footprint
13:35:45: [INFO] Add SW72 footprint
13:35:45: [INFO] Add D72 footprint
13:35:45: [INFO] Add SW73 footprint
13:35:45: [INFO] Add D73 footprint
13:35:45: [INFO] Add SW74 footprint
13:35:45: [INFO] Add D74 footprint
13:35:45: [INFO] Add SW74a footprint
13:35:45: [INFO] Add SW75 footprint
13:35:45: [INFO] Add D75 footprint
13:35:45: [INFO] Add SW75a footprint
13:35:45: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:45: [INFO] Add ST75a footprint
13:35:45: [INFO] Add SW75b footprint
13:35:45: [INFO] Add SW76 footprint
13:35:46: [INFO] Add D76 footprint
13:35:46: [INFO] Add SW77 footprint
13:35:46: [INFO] Add D77 footprint
13:35:46: [INFO] Add SW78 footprint
13:35:46: [INFO] Add D78 footprint
13:35:46: [INFO] Add SW79 footprint
13:35:46: [INFO] Add D79 footprint
13:35:46: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:46: [INFO] Add ST79 footprint
13:35:46: [INFO] Add SW79a footprint
13:35:46: [INFO] Add SW80 footprint
13:35:46: [INFO] Add D80 footprint
13:35:46: [INFO] Add SW80a footprint
13:35:46: [INFO] Add SW81 footprint
13:35:46: [INFO] Add D81 footprint
13:35:46: [INFO] Add SW81a footprint
13:35:46: [INFO] Add SW82 footprint
13:35:46: [INFO] Add D82 footprint
13:35:46: [INFO] Add SW83 footprint
13:35:46: [INFO] Add D83 footprint
13:35:46: [INFO] Add SW83a footprint
13:35:46: [INFO] Add SW84 footprint
13:35:46: [INFO] Add D84 footprint
13:35:46: [INFO] Add SW84a footprint
13:35:46: [INFO] Add SW85 footprint
13:35:46: [INFO] Add D85 footprint
13:35:46: [INFO] Detected layout convertible to matrix annotated keyboard
13:35:46: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:35:46: [INFO] Layout offset: (38100000, 28575000)
13:35:46: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:35:46: [INFO] Placing additional elements for SW85
13:35:46: [INFO] Placing additional elements for SW84a
13:35:46: [INFO] Placing additional elements for SW84
13:35:46: [INFO] Placing additional elements for SW83a
13:35:46: [INFO] Placing additional elements for SW83
13:35:46: [INFO] Placing additional elements for SW82
13:35:46: [INFO] Placing additional elements for SW81a
13:35:46: [INFO] Placing additional elements for SW81
13:35:46: [INFO] Placing additional elements for SW80a
13:35:46: [INFO] Placing additional elements for SW80
13:35:46: [INFO] Placing additional elements for SW79a
13:35:46: [INFO] Placing additional elements for SW79
13:35:46: [INFO] Placing additional elements for SW78
13:35:46: [INFO] Placing additional elements for SW77
13:35:46: [INFO] Placing additional elements for SW76
13:35:46: [INFO] Placing additional elements for SW75b
13:35:46: [INFO] Placing additional elements for SW75a
13:35:46: [INFO] Placing additional elements for SW75
13:35:46: [INFO] Placing additional elements for SW74a
13:35:46: [INFO] Placing additional elements for SW74
13:35:46: [INFO] Placing additional elements for SW73
13:35:46: [INFO] Placing additional elements for SW72
13:35:46: [INFO] Placing additional elements for SW71
13:35:46: [INFO] Placing additional elements for SW70
