=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ATAKw5TlIDsrbmD+AjEXBNPCSRhIjnizVe4fAGYp+ACzystZQDZlzZQA5lATmVdCnLFx4mukhl1NzijQSjSox02+AC6WAFDBwN4z5wMngqOgYAd3IuGlpsBBtzIIEERBFReP8JKRs7BKwlaxUcrA0irSLdIoMioxKzeqtkpkQ2dkjoymY4hmp3L19+FucXTL7A0nIw+gQo+BjusdNeIcd04Vc+pvA+vJ2CqT7VXtLDrAqEPqrLrBqbupOG+xSkEeQpObgYuiXLKRl+j4-ACJsFOj0EACkhBPt8IeAAU1Vql1tAOvBmJkAcwADoAO3x+PwoJeTmcH06PwYUKSCNMkgGYDB8AUXRm4AAnlNYliCoSCXjuCsHCj1hT4NQedSVPyict7J9JYtpbiBXLoSLXiNXAC9LLBcsPB4gA
13:31:52: [INFO] Routing pad 'SW43:2' at (40640000, 90170000) with pad 'D43:2' at (43180000, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(40640000, 90170000), (40640000, 95310000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(40640000, 95310000), (43180000, 97850000)]
13:31:52: [INFO] Routing SW42 with D42
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW42:2' at (304958750, 52070000) with pad 'D42:2' at (307498750, 59750000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(304958750, 52070000), (304958750, 57210000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(304958750, 57210000), (307498750, 59750000)]
13:31:52: [INFO] Routing SW41 with D41
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW41:2' at (290671250, 71120000) with pad 'D41:2' at (293211250, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(290671250, 71120000), (290671250, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(290671250, 76260000), (293211250, 78800000)]
13:31:52: [INFO] Routing SW40 with D40
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW40:2' at (269240000, 71120000) with pad 'D40:2' at (271780000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(269240000, 71120000), (269240000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(269240000, 76260000), (271780000, 78800000)]
13:31:52: [INFO] Routing SW39 with D39
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW39:2' at (250190000, 71120000) with pad 'D39:2' at (252730000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(250190000, 71120000), (250190000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(250190000, 76260000), (252730000, 78800000)]
13:31:52: [INFO] Routing SW38 with D38
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW38:2' at (231140000, 71120000) with pad 'D38:2' at (233680000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(231140000, 71120000), (231140000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(231140000, 76260000), (233680000, 78800000)]
13:31:52: [INFO] Routing SW37 with D37
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW37:2' at (212090000, 71120000) with pad 'D37:2' at (214630000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(212090000, 71120000), (212090000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(212090000, 76260000), (214630000, 78800000)]
13:31:52: [INFO] Routing SW36 with D36
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW36:2' at (193040000, 71120000) with pad 'D36:2' at (195580000, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(193040000, 71120000), (193040000, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(193040000, 76260000), (195580000, 78800000)]
13:31:52: [INFO] Routing SW35 with D35
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW35:2' at (173990000, 71120000) with pad 'D35:2' at (176530000, 78800000) using coordinate system rotated by 0 degree(s)
