=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBjW2BiFYk8AXy3EwAZwsI95wCdW3zLMBGO7TBXlQwBmQZgAsYjGikA2KSikAOQVy4YVlNRkVb1MvRkn1c+ZgENLVjtm2jD8wwMM9DtSrJHgAuhgBQYFD4yOiUjIRs7BTY4hjuMRiuCc4J9gnGCQYJjgm6CZq21BqqRXngXEVZ5UUZDGYEVtaUAO7B0dUYsgA6AHa9vUXxdUxEJMQ2HSnDhI2WExWJJXGCnrVB8NSomNjhzJGs80XC-X09RUnTFrOHnScDi74BENDwIdvgrfBcSGjtwssmXYsfYTf5JcD-FIQryUf4ZaFVf45aFlf4FcAATmKlCxZSxVSxa0+cG+v0oSiMgixyKxUKxF1MI1m5kEAAs2uS4nceup4piuadeuoeI9Ai9EFswvUxuMWvhvuh2ggAXBLsDIhNleDlVDlWlwMr4cqqsrkcqysr0RSrTpBBSsmqZWVicgEGTsFi0mr9nh2hTkRSoRSGeLvkUdvVmRMKdRucKfP4xfhNm65V8kG72rzuWDeN6QVnEjnFiZxSn3kCo2mJZmtAKTv8hoyIgW61D1Pr1PD9KpOr2yup0Shsdhh2Vhw7m1dGoJiQr3eBh+JuTQ81PRmMJsPjoKeqvAfUfVu+5Rh1DhwygU62RzsJ5Y7vlU3Q5KI0zru1hw+TlqE091hKoTYHOGYLoM3L3muIG1tg5wQSqEDQWBGAIPBTZAke1ayKB7RFN0u6QQe74zrhGhoYIpTkZQlRUaq67XqRy4ESq4BHLR4CePhJyxOhh6tneKHcjxKwlnR4pvFKIwMR49anL+orPMEr7gAAnsmPySTM1zVt8MGsbJvSeAySGkVw8HGfKOHUYJzGXnxGpYVZsG3LZa6VtpwGWchSjmVBXmkWgvlEYQ0nOUxJxGRRIhBWJ6kVpGHkfEpiqnkYK4PImimvMpJnWd+pyeFMSXpnpcHMUVuXOah5VufZ7COaVLkRShtXEU0nkld58EVZZjUoN1fmdYxA0mJV+k7s1RVlhpb4tg5HWIO0hVCRl-7icp7kzjpPykflhkwnRIHIWZzFeuumELSgpFcQVB1qlWC2kqRPmnYNJI7dZgWvcFzChfp4W3fqbGvQpAESbN07tcV73IXtPSrG9T3WSdzVrBhILVld1k3ftaMJVtj1OfpL2o4jROUcxRK9chAO42TjUTbdkig+tQHQ0jzlw54k5HaZ8GTuj83Q1jzk4-D0itVpJHWSTt1VBTzXy9I-OS79MoTDUKvWYz+0yCzyXxW1czbbD8HImVzU5Ih-nWdVluq+q9WXddZsOw97Mfc5-XMebaU+2TyE6+L8j69lbO83l8FlBbt15Nb6bIXbscOxdwsu8xcfrlGpHe810fKxnDt-Zrhfa1Hf5JmHhtS1DEec-B6Ix-tBTxzDpFJ83KcYwtsjp81LdZ4ldfEw3AcBaPP0bqQw3MY30WzxXWWAdXkPG4TpvMRiUUo7dW+jTbVXwXvdGC070O99jR9ux+MtX9Zue71FX3NcfjrqzPL9RUHnhb6Hy+aavFkJtdrmT5E3cWFQx621AV3IWxIL6ixgZPd2Y0iiy32pA-eQ175IMOtTD+t1MF4Owc5b+iRaDeG8EAA
13:28:24: [INFO] Add D74 footprint
13:28:24: [INFO] Add SW75 footprint
13:28:24: [INFO] Add D75 footprint
13:28:24: [INFO] Add SW76 footprint
13:28:24: [INFO] Add D76 footprint
13:28:24: [INFO] Add SW77 footprint
13:28:24: [INFO] Add D77 footprint
13:28:24: [INFO] Add SW78 footprint
13:28:24: [INFO] Add D78 footprint
13:28:24: [INFO] Add SW79 footprint
13:28:24: [INFO] Add D79 footprint
13:28:24: [INFO] Add SW80 footprint
13:28:24: [INFO] Add D80 footprint
13:28:24: [INFO] Add SW81 footprint
13:28:24: [INFO] Add D81 footprint
13:28:24: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:24: [INFO] Add ST81 footprint
13:28:24: [INFO] Add SW82 footprint
13:28:24: [INFO] Add D82 footprint
13:28:24: [INFO] Add SW83 footprint
13:28:24: [INFO] Add D83 footprint
13:28:24: [INFO] Add SW84 footprint
13:28:24: [INFO] Add D84 footprint
13:28:24: [INFO] Add SW85 footprint
13:28:24: [INFO] Add D85 footprint
13:28:24: [INFO] Add SW86 footprint
13:28:24: [INFO] Add D86 footprint
13:28:24: [INFO] Add SW87 footprint
13:28:24: [INFO] Add D87 footprint
13:28:24: [INFO] Add SW88 footprint
13:28:25: [INFO] Add D88 footprint
13:28:25: [INFO] Add SW89 footprint
13:28:25: [INFO] Add D89 footprint
13:28:25: [INFO] Add SW90 footprint
13:28:25: [INFO] Add D90 footprint
13:28:25: [INFO] Add SW91 footprint
13:28:25: [INFO] Add D91 footprint
13:28:25: [INFO] Add SW92 footprint
13:28:25: [INFO] Add D92 footprint
13:28:25: [INFO] Add SW93 footprint
13:28:25: [INFO] Add D93 footprint
13:28:25: [INFO] Add ST93 footprint
13:28:25: [INFO] Add SW93a footprint
13:28:25: [INFO] Add SW94 footprint
13:28:25: [INFO] Add D94 footprint
13:28:25: [INFO] Add SW95 footprint
13:28:25: [INFO] Add D95 footprint
13:28:25: [INFO] Add SW96 footprint
13:28:25: [INFO] Add D96 footprint
13:28:25: [INFO] Add SW97 footprint
13:28:25: [INFO] Add D97 footprint
13:28:25: [INFO] Add SW98 footprint
13:28:25: [INFO] Add D98 footprint
13:28:25: [INFO] Add SW99 footprint
13:28:25: [INFO] Add D99 footprint
13:28:25: [INFO] Add SW100 footprint
13:28:25: [INFO] Add D100 footprint
13:28:25: [INFO] Add SW101 footprint
13:28:25: [INFO] Add D101 footprint
13:28:25: [INFO] Add SW102 footprint
13:28:25: [INFO] Add D102 footprint
13:28:25: [INFO] Add SW103 footprint
13:28:25: [INFO] Add D103 footprint
13:28:25: [INFO] Add SW104 footprint
13:28:26: [INFO] Add D104 footprint
13:28:26: [INFO] Detected layout convertible to matrix annotated keyboard
13:28:26: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:28:26: [INFO] Layout offset: (33337500, 28575000)
13:28:26: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:28:26: [INFO] Placing additional elements for SW104
13:28:26: [INFO] Placing additional elements for SW103
13:28:26: [INFO] Placing additional elements for SW102
13:28:26: [INFO] Placing additional elements for SW101
13:28:26: [INFO] Placing additional elements for SW100
13:28:26: [INFO] Placing additional elements for SW99
13:28:26: [INFO] Placing additional elements for SW98
13:28:26: [INFO] Placing additional elements for SW97
13:28:26: [INFO] Placing additional elements for SW96
13:28:26: [INFO] Placing additional elements for SW95
13:28:26: [INFO] Placing additional elements for SW94
13:28:26: [INFO] Placing additional elements for SW93a
13:28:26: [INFO] Placing additional elements for SW93
13:28:26: [INFO] Placing additional elements for SW92
13:28:26: [INFO] Placing additional elements for SW91
13:28:26: [INFO] Placing additional elements for SW90
13:28:26: [INFO] Placing additional elements for SW89
13:28:26: [INFO] Placing additional elements for SW88
13:28:26: [INFO] Placing additional elements for SW87
13:28:26: [INFO] Placing additional elements for SW86
13:28:26: [INFO] Placing additional elements for SW85
13:28:26: [INFO] Placing additional elements for SW84
13:28:26: [INFO] Placing additional elements for SW83
13:28:26: [INFO] Placing additional elements for SW82
13:28:26: [INFO] Placing additional elements for SW81
13:28:26: [INFO] Placing additional elements for SW80
13:28:26: [INFO] Placing additional elements for SW79
13:28:26: [INFO] Placing additional elements for SW78
13:28:26: [INFO] Placing additional elements for SW77
13:28:26: [INFO] Placing additional elements for SW76
13:28:26: [INFO] Placing additional elements for SW75
13:28:26: [INFO] Placing additional elements for SW74
13:28:26: [INFO] Placing additional elements for SW73
