=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:11: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ATAKzYICMBReWjr4zHO4+1rUuSp0GXLAN74AzJ2aypWACyDwZeCPq9mKxbTlZ9igGyr1cRpQDstXtHhIrT55kVWD7xQA4DPgLpYAFDA4NQsxGrCNLYI9ggoaKiuCNLhCGE8KeycYZJwQhrRYql5oVgKWRVluvmRhaK8qTVlRlmtZaYR5pY2duSOzk7JZZ5Zo2U+jVj+QWB1FgCc1jHgAJ7kALSafQ4JicO2xgA6AHanp-iZ4AtYx2f3l+ABwRDr8FuUWghKaRBxSJBAUCDmlwD8rrYrj9SrZSj8qrYqj9mrZmj92rZ2j9OrV-nt0LwAO7kahiQ7nB6-eZUL5grDjWzjH6TBC2GYvcDE+CWWnGKl4oHAsRWUF8q4iq580oi0p8qoiqp85oi5p89oi9p8nF-fr4pJE8g84W3MxRXn0zgi8Z8lk63aDIa8AAWJONXgpp2YhC6UToO3iiSSbo9J24T1mEC5FmWYi8-N1gsBwxu3oQcauNyucdKN1KcaqNyqceaN2acfaN1adviDvGUeoRV4ce11M+-qQgeQwzj4xu4zjtvmlgaCBu7vunuyzzm9cbTHwqerAMTw0YXrkj20Ye0-DkzFKjBke-KG+Ux+ah8Mqjxnc4UZ6tMvLe6nzEl-Ga4tO+m191tc4LrwKSW7TCGYSLq2fqxLqt5vsw44Uhk4Yct0SjRLwbxwB8vTQfaDqrswpjTq8mzbLhAaBnehpzlw4GqPeNGMKkEEMSOtHZBEUbGIxuT0dRj5hEoIbMXx3KvtoYS0MJVLmNI4lMKkH5hIOL5sUxoETicSHEUOclQWspHLO2iD-m+YQ4lwqQWYwYTuDp3T4ORHaUWZyjSVc6lCZpqQeZJ7lPH4QA
13:38:16: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:16: [INFO] Add ST77 footprint
13:38:16: [INFO] Add SW78 footprint
13:38:16: [INFO] Add D78 footprint
13:38:16: [INFO] Add SW79 footprint
13:38:16: [INFO] Add D79 footprint
13:38:16: [INFO] Add SW80 footprint
13:38:16: [INFO] Add D80 footprint
13:38:16: [INFO] Add SW81 footprint
13:38:16: [INFO] Add D81 footprint
13:38:16: [INFO] Add SW82 footprint
13:38:16: [INFO] Add D82 footprint
13:38:16: [INFO] Add SW83 footprint
13:38:16: [INFO] Add D83 footprint
13:38:16: [INFO] Add SW84 footprint
13:38:16: [INFO] Add D84 footprint
13:38:16: [INFO] Add SW85 footprint
13:38:17: [INFO] Add D85 footprint
13:38:17: [INFO] Add SW86 footprint
13:38:17: [INFO] Add D86 footprint
13:38:17: [INFO] Add SW87 footprint
13:38:17: [INFO] Add D87 footprint
13:38:17: [INFO] Add SW88 footprint
13:38:17: [INFO] Add D88 footprint
13:38:17: [INFO] Add SW89 footprint
13:38:17: [INFO] Add D89 footprint
13:38:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:17: [INFO] Add ST89 footprint
13:38:17: [INFO] Add SW90 footprint
13:38:17: [INFO] Add D90 footprint
13:38:17: [INFO] Add SW91 footprint
13:38:17: [INFO] Add D91 footprint
13:38:17: [INFO] Add SW92 footprint
13:38:17: [INFO] Add D92 footprint
13:38:17: [INFO] Add SW93 footprint
13:38:17: [INFO] Add D93 footprint
13:38:17: [INFO] Add SW94 footprint
13:38:17: [INFO] Add D94 footprint
13:38:17: [INFO] Add SW95 footprint
13:38:17: [INFO] Add D95 footprint
13:38:17: [INFO] Add SW96 footprint
13:38:17: [INFO] Add D96 footprint
13:38:17: [INFO] Add SW97 footprint
13:38:17: [INFO] Add D97 footprint
13:38:17: [INFO] Add SW98 footprint
13:38:17: [INFO] Add D98 footprint
13:38:17: [INFO] Add SW99 footprint
13:38:17: [INFO] Add D99 footprint
13:38:17: [INFO] Add SW100 footprint
13:38:17: [INFO] Add D100 footprint
13:38:17: [INFO] Add SW101 footprint
13:38:17: [INFO] Add D101 footprint
13:38:17: [INFO] Add SW102 footprint
13:38:17: [INFO] Add D102 footprint
13:38:17: [INFO] Add SW103 footprint
13:38:17: [INFO] Add D103 footprint
