=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0yA0dwGNZYMQCGxJ4AvpuAuggMwA6Adk0wAw3iXsIAsLzjbuAC66AFBgoeViiRJKAT2koelXPHD4A7Dt3ku6ViPGTo8Wii2K8AWhkBOeVnUFsb9-qztanOBDNwABwqSBReNABMxhL+eAiW1vB2KI5qeJokpGHgQpgQLpruHtnsUXlS8AgyPKEGdL756USZhL7gAO54ESU0fAJshg0ViCgAbD3IbdyjUzRa0abKtE7gSkky1M5NunrZ1EaiMcN0iXDJqVsa+EVunlQ0CAuxlbKn5ysFzZltnS+1WNRHuVPjdcHt0GU-McZKxwQhIeAIjQfOVfiN-vdeEMAvEIh8mi1WnCkG1ATNKID5odFvANis1mcNmkrjsdHckQcTM8RrQ3g5mQRCT84pYMUigVCQTd2RDsXh7ChltlxRLEZEhp9WfNKGiIig8crenKXpscASWjLJpRxeSsOKqVzjihWCtdfqMbyJY0rqC7rzIdzgoFsp7VZ6A2arkKdV1RSHkfwmBzjXAHPGrVhPbbwJ6HUccc7XSKMaovcc9XJsqWUVC0fES0bygXkFWaCTKKXs6W8zTEKhTQyZEWXloPQn+oxxW1PX1+FPqRAAE5xJFYAKoF1vLSvS6uaU9HizdvhbPsHvcnhjcE1+6HinoY-3GYL4aXwJi9A3pF3u0PtpI59HXXRV4xvXkfxzP9KF5QD8zwUYxhjeA9QNDsH0TRh9g1c1vlbUYMKwl9gM3LAGXeJD0VbHwiPgxDSKWfEfWlCjujQpACI4YEcNICjcQbfCJ0BJ5wGXJJ4UoAJghqN49UCAVCn3AxAlmexZiqNTHho+BghdcFtQBdBlPvVT73UrSgn1Q19LVIzfxM38zKAvBt1HeNrN5WzIPsyDHLg+AXOHOA9VctDlPMqpZHpWwHEYwULV42RWzM4QgA
13:29:50: [INFO] Add D13 footprint
13:29:50: [INFO] Add SW14 footprint
13:29:50: [INFO] Add D14 footprint
13:29:50: [INFO] Add SW15 footprint
13:29:50: [INFO] Add D15 footprint
13:29:50: [INFO] Add ST15 footprint
13:29:50: [INFO] Add SW15a footprint
13:29:50: [INFO] Add SW16 footprint
13:29:50: [INFO] Add D16 footprint
13:29:50: [INFO] Add SW17 footprint
13:29:50: [INFO] Add D17 footprint
13:29:50: [INFO] Add SW18 footprint
13:29:50: [INFO] Add D18 footprint
13:29:50: [INFO] Add SW19 footprint
13:29:50: [INFO] Add D19 footprint
13:29:50: [INFO] Add SW20 footprint
13:29:50: [INFO] Add D20 footprint
13:29:50: [INFO] Add SW21 footprint
13:29:50: [INFO] Add D21 footprint
13:29:50: [INFO] Add SW22 footprint
13:29:50: [INFO] Add D22 footprint
13:29:50: [INFO] Add SW23 footprint
13:29:50: [INFO] Add D23 footprint
13:29:50: [INFO] Add SW24 footprint
13:29:50: [INFO] Add D24 footprint
13:29:50: [INFO] Add SW25 footprint
13:29:50: [INFO] Add D25 footprint
13:29:50: [INFO] Add SW26 footprint
13:29:50: [INFO] Add D26 footprint
13:29:50: [INFO] Add SW27 footprint
13:29:51: [INFO] Add D27 footprint
13:29:51: [INFO] Add SW28 footprint
13:29:51: [INFO] Add D28 footprint
13:29:51: [INFO] Add SW29 footprint
13:29:51: [INFO] Add D29 footprint
13:29:51: [INFO] Add SW30 footprint
13:29:51: [INFO] Add D30 footprint
13:29:51: [INFO] Add SW31 footprint
13:29:51: [INFO] Add D31 footprint
13:29:51: [INFO] Add SW32 footprint
13:29:51: [INFO] Add D32 footprint
13:29:51: [INFO] Add SW33 footprint
13:29:51: [INFO] Add D33 footprint
13:29:51: [INFO] Add SW34 footprint
13:29:51: [INFO] Add D34 footprint
13:29:51: [INFO] Add SW35 footprint
13:29:51: [INFO] Add D35 footprint
13:29:51: [INFO] Add SW36 footprint
13:29:51: [INFO] Add D36 footprint
13:29:51: [INFO] Add SW37 footprint
13:29:51: [INFO] Add D37 footprint
13:29:51: [INFO] Add SW38 footprint
13:29:51: [INFO] Add D38 footprint
13:29:51: [INFO] Add SW39 footprint
13:29:51: [INFO] Add D39 footprint
13:29:51: [INFO] Add SW40 footprint
13:29:51: [INFO] Add D40 footprint
13:29:51: [INFO] Add SW41 footprint
13:29:51: [INFO] Add D41 footprint
13:29:51: [INFO] Add SW42 footprint
13:29:51: [INFO] Add D42 footprint
13:29:51: [INFO] Add SW43 footprint
13:29:51: [INFO] Add D43 footprint
13:29:52: [INFO] Add SW44 footprint
13:29:52: [INFO] Add D44 footprint
13:29:52: [INFO] Add SW45 footprint
13:29:52: [INFO] Add D45 footprint
13:29:52: [INFO] Add SW46 footprint
13:29:52: [INFO] Add D46 footprint
13:29:52: [INFO] Add SW47 footprint
13:29:52: [INFO] Add D47 footprint
13:29:52: [INFO] Add SW48 footprint
13:29:52: [INFO] Add D48 footprint
13:29:52: [INFO] Add SW49 footprint
13:29:52: [INFO] Add D49 footprint
13:29:52: [INFO] Add SW50 footprint
13:29:52: [INFO] Add D50 footprint
13:29:52: [INFO] Add SW51 footprint
13:29:52: [INFO] Add D51 footprint
13:29:52: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:52: [INFO] Add ST51 footprint
13:29:52: [INFO] Add SW52 footprint
13:29:52: [INFO] Add D52 footprint
13:29:52: [INFO] Add SW53 footprint
13:29:52: [INFO] Add D53 footprint
13:29:52: [INFO] Add SW54 footprint
13:29:52: [INFO] Add D54 footprint
13:29:52: [INFO] Add SW55 footprint
13:29:52: [INFO] Add D55 footprint
13:29:52: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:52: [INFO] Add ST55 footprint
13:29:52: [INFO] Add SW56 footprint
13:29:52: [INFO] Add D56 footprint
13:29:52: [INFO] Add SW57 footprint
