=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:14:08: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwBo7gJ6zgRgHQIKwC+K4WSADOChNPOXkSeRVamVq+MxyWQqzUz4c5Yqmb5OZSUyQA2KfIFRM9AmK5IA7Mtpx6Wxm23gAukgBQYFfCwAOHEfABmE+auD4AFhyGSGeABaejsnVx44TzgHJ2QFd2s9BF98f0xgnABODVdKEmQ8yJtsejClanAAY0xwAGIAQ0amzgB3TAQNVLkAHQA7Pr7mQohq+DrKicnwTvkB-t7uTmQtOcGkDgSo+xS0oLUnVJ1N4qwvXbgMuxnJY6THc4zM1NRR1AamxtbMXAOWCtfxpMJtMSGdhid6KJQeVUFoYRA2rZHBozkdLIlvpkHvsNHC0R5iskCNidi8au8Pl8kYZcX8igDakDgRo5HSoplkSQ4TJUKyFP9yR9PiREYgGCy3OioshUKKiU4seCGUzqho7GzihyoagsTzwOr+fTBUKqdgUhosYaRuSVSDUOr8Rj4DKqsbKSLvpy2GRwXosM57mSxoymXbSGRDaRmDpeGRHRAAE7fZioPRaUnodLppzMfi8JDOMxS4pyBjnUoaZARFxIPOoZB1muF25CXwzatnaupRtnfgt+DCUK06us6twxusvvFvSl5wK9acdXVrGN9VTglpwPgOXi2O15QMoX1MNYXNFjeYVmoAIXehPD1IpynljHJNBZ+pzAc56ZoIBrA-sqoYaMwXiKGB-ZwByZzXqoOBeLESBgSQrjIfWSB6q4NzTl+MyFtCaHgKkhFnNhF7wByc60vhvJIZwcKEayZFOtEWQWgWi50SQWKEeqzHsg+Yo0rwoHnixWC4H4sF7FkJCHiagk-Boz43KYQA
14:14:12: [INFO] Add SW67 footprint
14:14:12: [INFO] Add D67 footprint
14:14:12: [INFO] Add SW68 footprint
14:14:12: [INFO] Add D68 footprint
14:14:12: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:14:12: [INFO] Add ST68 footprint
14:14:12: [INFO] Add SW69 footprint
14:14:12: [INFO] Add D69 footprint
14:14:12: [INFO] Add SW70 footprint
14:14:12: [INFO] Add D70 footprint
14:14:12: [INFO] Add SW71 footprint
14:14:12: [INFO] Add D71 footprint
14:14:12: [INFO] Add SW72 footprint
14:14:12: [INFO] Add D72 footprint
14:14:12: [INFO] Add SW73 footprint
14:14:12: [INFO] Add D73 footprint
14:14:12: [INFO] Add SW74 footprint
14:14:12: [INFO] Add D74 footprint
14:14:12: [INFO] Add SW75 footprint
14:14:12: [INFO] Add D75 footprint
14:14:12: [INFO] Add SW76 footprint
14:14:12: [INFO] Add D76 footprint
14:14:12: [INFO] Add SW77 footprint
14:14:12: [INFO] Add D77 footprint
14:14:12: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
14:14:12: [INFO] Add ST77 footprint
14:14:13: [INFO] Add SW78 footprint
14:14:13: [INFO] Add D78 footprint
14:14:13: [INFO] Add SW79 footprint
14:14:13: [INFO] Add D79 footprint
14:14:13: [INFO] Add SW80 footprint
14:14:13: [INFO] Add D80 footprint
14:14:13: [INFO] Add SW81 footprint
14:14:13: [INFO] Add D81 footprint
14:14:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:14:13: [INFO] Add ST81 footprint
14:14:13: [INFO] Add SW82 footprint
14:14:13: [INFO] Add D82 footprint
14:14:13: [INFO] Add SW83 footprint
14:14:13: [INFO] Add D83 footprint
14:14:13: [INFO] Detected layout convertible to matrix annotated keyboard
14:14:13: [INFO] Using key 1U distance: (19.05, 19.05) mm
14:14:13: [INFO] Layout offset: (28575000, 23812500)
14:14:13: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
14:14:13: [INFO] Placing additional elements for SW83
14:14:13: [INFO] Placing additional elements for SW82
14:14:13: [INFO] Placing additional elements for SW81
14:14:13: [INFO] Placing additional elements for SW80
14:14:13: [INFO] Placing additional elements for SW79
14:14:13: [INFO] Placing additional elements for SW78
14:14:13: [INFO] Placing additional elements for SW77
14:14:13: [INFO] Placing additional elements for SW76
14:14:13: [INFO] Placing additional elements for SW75
