=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:43:23: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArEQGxEDsWSk18otFDtpLkh7u7m8A3qAAeoAFxxwAOnTEAvuxTsYAXUgAoYAIDuouEimyG6aFiMKER3ucjcrnK2yvMr9BNjpY3T0G4feOqLR09SgNXawChHUlpOTCzP2U1DVBtMWDQ0HxjBiz4rMtM8Jz-Yt8sryyXUGJ3BhqvGodAsXR9WOqOAB0AOx6eqBh+SLFojJqzAWE0-QZU3Ta6rt7lqHia7D6V5Aip8QWEGvxN-shLZvmYxY3lk8wVdXO9S4QyaGPu2kG4R-3QV6R3p8InMnhlXuhAdlvikdK1nn9rJCvj94a9iEjgbCJCF2q9KBiGJRIGR3kYvqAieibt0yVgiUdqbShrtRu0iQUifEiYkHqAAJ5RGYIEG-V7gSETGHTVHICWY6Vg05yoZzVo4hiva6bWiSkUyqna7YqrEy-HUnXy+YZIkkxlG6Ei61LTamUD3ZICkZCqUXRXi82nS2g3GygNnH3BjVKsOWsiikiQu5JASevYy-2GmwIgEBrPgyE2c6UEMG5a0XDulOC6SzIISP2Quw-RUQgNNn3FqOlnq0QhKJRAA
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW46b:2' at (45402500, 90170000) with pad 'D46:2' at (45561250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW46a with D46
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW46a:2' at (40640000, 90170000) with pad 'D46:2' at (45561250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW46 with D46
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW46:2' at (43021250, 90170000) with pad 'D46:2' at (45561250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW45 with D45
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW45:2' at (207327500, 71120000) with pad 'D45:2' at (209867500, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(207327500, 71120000), (207327500, 76260000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(207327500, 76260000), (209867500, 78800000)]
13:43:28: [INFO] Routing SW44 with D44
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW44:2' at (226377500, 71120000) with pad 'D44:2' at (228917500, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(226377500, 71120000), (226377500, 76260000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(226377500, 76260000), (228917500, 78800000)]
13:43:28: [INFO] Routing SW43 with D43
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW43:2' at (245427500, 71120000) with pad 'D43:2' at (247967500, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(245427500, 71120000), (245427500, 76260000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(245427500, 76260000), (247967500, 78800000)]
13:43:28: [INFO] Routing SW42b with D42
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW42b:2' at (264477500, 71120000) with pad 'D42:2' at (278923750, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW42a with D42
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW42a:2' at (266858750, 71120000) with pad 'D42:2' at (278923750, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW42 with D42
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW42:2' at (276383750, 71120000) with pad 'D42:2' at (278923750, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(276383750, 71120000), (276383750, 76260000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(276383750, 76260000), (278923750, 78800000)]
13:43:28: [INFO] Routing SW41a with D41
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW41a:2' at (285908750, 71120000) with pad 'D41:2' at (290830000, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW41 with D41
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW41:2' at (288290000, 71120000) with pad 'D41:2' at (290830000, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW40 with D40
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW40:2' at (312102500, 71120000) with pad 'D40:2' at (314642500, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(312102500, 71120000), (312102500, 76260000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(312102500, 76260000), (314642500, 78800000)]
13:43:28: [INFO] Routing SW39 with D39
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW39:2' at (188277500, 71120000) with pad 'D39:2' at (190817500, 78800000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(188277500, 71120000), (188277500, 76260000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(188277500, 76260000), (190817500, 78800000)]
13:43:28: [INFO] Routing SW38 with D38
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW38:2' at (169227500, 71120000) with pad 'D38:2' at (171767500, 78800000) using coordinate system rotated by 0 degree(s)
