=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:23: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14A2AOgFZV0AWFAJnAF0UAoMKWOGtcAT3YFoMxABwB2Cplq44+dgEZxWSlJnxKZcdVnK28WcQwbsDZqwJxSXXvAHChClKW1ma6rtQzGWEK3BuiuAMbs4ADEAIYRkeD2HnjgQfChAckp0VxYWnFmsoLkbihKcQno4ZERaVQOnqbsCJb8gghCgcEhKaniskZZ7CR56BZ0jF46HPXWgqKdkj2604XSo2r94BaZi9n64hY4wzXwFug+fnZcXY6zHK4DKB573g3CIi2JpWUV4F2xi8VJ7UHTdYqOA5a6rAraX5vKLbKr3UZ1I6PJovEr-AFcTg4S59cSESTw5zjXyTMSYmYbOTiTgLYHLPEoIGjPQGLj43YmYGHHiPISndCcC6U+AuFb4u6cnkTJ6o0JlcrU26Q1roj6cJnZXIM2nxVrysIffGOQm1Yk2JriOrY4VwXFcZ5DSXZPTc46k8TPDkjN3EETcqEiQNBj51b4QKH6kOMpxyLX2iFFVpB4MeuFOuTLYm5WVtf5ScAG+DPdAAE3YABcAE4AVwApuJqhBK9kEL7uZWfNyzHxZHo-Wa9P50BH5fnC3BKJaCZLK3Jmuhm+x2z5W-30N3s0jpZR-Sq81OlPDZ0QsAuzEIyFwO+xqOvHsWpSTiLfwAB3ORg54SkbH3yEU-gIuRBcBuwhmoIL7vroYJ1MaM78LI86AWYACcl4LiubYgY8rqPDuqZaPQ9BAA
13:34:27: [INFO] Placing additional elements for SW37
13:34:27: [INFO] Placing additional elements for SW36
13:34:27: [INFO] Placing additional elements for SW35
13:34:27: [INFO] Placing additional elements for SW34
13:34:27: [INFO] Placing additional elements for SW33
13:34:27: [INFO] Placing additional elements for SW32
13:34:27: [INFO] Placing additional elements for SW31
13:34:27: [INFO] Placing additional elements for SW30
13:34:27: [INFO] Placing additional elements for SW29
13:34:27: [INFO] Placing additional elements for SW28
13:34:27: [INFO] Placing additional elements for SW27
13:34:27: [INFO] Placing additional elements for SW26
13:34:27: [INFO] Placing additional elements for SW25
13:34:27: [INFO] Placing additional elements for SW24
13:34:27: [INFO] Placing additional elements for SW23
13:34:27: [INFO] Placing additional elements for SW22
13:34:27: [INFO] Placing additional elements for SW21
13:34:27: [INFO] Placing additional elements for SW20
13:34:27: [INFO] Placing additional elements for SW19
13:34:27: [INFO] Placing additional elements for SW18
13:34:27: [INFO] Placing additional elements for SW17
13:34:27: [INFO] Placing additional elements for SW16
13:34:27: [INFO] Placing additional elements for SW15
13:34:27: [INFO] Placing additional elements for SW14
13:34:27: [INFO] Placing additional elements for SW13
13:34:27: [INFO] Placing additional elements for SW12
13:34:27: [INFO] Placing additional elements for SW11
13:34:27: [INFO] Placing additional elements for SW10
13:34:27: [INFO] Placing additional elements for SW9
13:34:27: [INFO] Placing additional elements for SW8
13:34:27: [INFO] Placing additional elements for SW7
13:34:27: [INFO] Placing additional elements for SW6
13:34:27: [INFO] Placing additional elements for SW5
13:34:27: [INFO] Placing additional elements for SW4
13:34:27: [INFO] Placing additional elements for SW3
13:34:27: [INFO] Placing additional elements for SW2
13:34:27: [INFO] Placing additional elements for SW1
13:34:27: [INFO] Routing SW48 with D48
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW48:2' at (297815000, 97409000) with pad 'D48:2' at (300355000, 105089000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(297815000, 97409000), (297815000, 102549000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(297815000, 102549000), (300355000, 105089000)]
13:34:27: [INFO] Routing SW47 with D47
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW47:2' at (278765000, 97409000) with pad 'D47:2' at (281305000, 105089000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(278765000, 97409000), (278765000, 102549000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(278765000, 102549000), (281305000, 105089000)]
13:34:27: [INFO] Routing SW46 with D46
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW46:2' at (259715000, 92646500) with pad 'D46:2' at (262255000, 100326500) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(259715000, 92646500), (259715000, 97786500)]
13:34:27: [INFO] Adding track segment (B.Cu): [(259715000, 97786500), (262255000, 100326500)]
13:34:27: [INFO] Routing SW45 with D45
13:34:27: [INFO] Using internal autorouter method
13:34:27: [INFO] Routing pad 'SW45:2' at (240665000, 90170000) with pad 'D45:2' at (243205000, 97850000) using coordinate system rotated by 0 degree(s)
13:34:27: [INFO] Adding track segment (B.Cu): [(240665000, 90170000), (240665000, 95310000)]
13:34:27: [INFO] Adding track segment (B.Cu): [(240665000, 95310000), (243205000, 97850000)]
13:34:27: [INFO] Routing SW44 with D44
13:34:27: [INFO] Using internal autorouter method
