=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdAFm3AF0UAoMKWOc9AT0YFoMA6QgVhMwpSuOPkb804csOp0x8AEyS28TjwnosCkfLgKBWXjobxkk8kbwm9A8ttn0CiZR24bwARgpWnxSbwoHXS9WV3UDFA9jJ31JL2EfcQEAhNFrWLJIqlp6FTg1PkkAY0ZwAGIAQyrq8AiMaMYQ8BL4cqL2jtq4lG1ExQEvSzSnM3QAod0M8ADe4cbi0srqqq7M+qDrBBdVNwXWso7OgSUcPrg-dAA2QJzg7fzuPgGss6mlVN13a4-05KyNvIFALoFroJbLVaeFD1M5NUFtQ4lY49Br9SRKCabATXTExbEo2F-da3axNQHcBTuJRRWEefFRAFhQogxbLFbImFzeAeUbga7EuTWZjgcnhSRbU7oLY-EYCQhCETgeU4DYje5AgRbWaTPZgxFI8UoXHzFn7NkVSHy41o9Dy+yUIA
13:41:59: [INFO] Routing pad 'SW44:2' at (193040000, 109220000) with pad 'D44:2' at (195580000, 116900000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(193040000, 109220000), (193040000, 114360000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(193040000, 114360000), (195580000, 116900000)]
13:41:59: [INFO] Routing SW43 with D43
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW43:2' at (212090000, 104457500) with pad 'D43:2' at (214630000, 112137500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(212090000, 104457500), (212090000, 109597500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(212090000, 109597500), (214630000, 112137500)]
13:41:59: [INFO] Routing SW42 with D42
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW42:2' at (231140000, 104457500) with pad 'D42:2' at (233680000, 112137500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(231140000, 104457500), (231140000, 109597500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(231140000, 109597500), (233680000, 112137500)]
13:41:59: [INFO] Routing SW41 with D41
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW41:2' at (250190000, 109220000) with pad 'D41:2' at (252730000, 116900000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(250190000, 109220000), (250190000, 114360000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(250190000, 114360000), (252730000, 116900000)]
13:41:59: [INFO] Routing SW40 with D40
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW40:2' at (212090000, 80645000) with pad 'D40:2' at (214630000, 88325000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(212090000, 80645000), (212090000, 85785000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(212090000, 85785000), (214630000, 88325000)]
13:41:59: [INFO] Routing SW39 with D39
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW39:2' at (231140000, 75882500) with pad 'D39:2' at (233680000, 83562500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(231140000, 75882500), (231140000, 81022500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(231140000, 81022500), (233680000, 83562500)]
13:41:59: [INFO] Routing SW38 with D38
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW38:2' at (250190000, 71120000) with pad 'D38:2' at (252730000, 78800000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(250190000, 71120000), (250190000, 76260000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(250190000, 76260000), (252730000, 78800000)]
13:41:59: [INFO] Routing SW37 with D37
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW37:2' at (269240000, 80645000) with pad 'D37:2' at (271780000, 88325000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(269240000, 80645000), (269240000, 85785000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(269240000, 85785000), (271780000, 88325000)]
13:41:59: [INFO] Routing SW36 with D36
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW36:2' at (288290000, 94932500) with pad 'D36:2' at (290830000, 102612500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(288290000, 94932500), (288290000, 100072500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(288290000, 100072500), (290830000, 102612500)]
13:41:59: [INFO] Routing SW35 with D35
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW35:2' at (307340000, 99695000) with pad 'D35:2' at (309880000, 107375000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(307340000, 99695000), (307340000, 104835000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(307340000, 104835000), (309880000, 107375000)]
13:41:59: [INFO] Routing SW34 with D34
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW34:2' at (212090000, 61595000) with pad 'D34:2' at (214630000, 69275000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(212090000, 61595000), (212090000, 66735000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(212090000, 66735000), (214630000, 69275000)]
13:41:59: [INFO] Routing SW33 with D33
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW33:2' at (231140000, 56832500) with pad 'D33:2' at (233680000, 64512500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(231140000, 56832500), (231140000, 61972500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(231140000, 61972500), (233680000, 64512500)]
13:41:59: [INFO] Routing SW32 with D32
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW32:2' at (250190000, 52070000) with pad 'D32:2' at (252730000, 59750000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(250190000, 52070000), (250190000, 57210000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(250190000, 57210000), (252730000, 59750000)]
13:41:59: [INFO] Routing SW31 with D31
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW31:2' at (269240000, 61595000) with pad 'D31:2' at (271780000, 69275000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(269240000, 61595000), (269240000, 66735000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(269240000, 66735000), (271780000, 69275000)]
13:41:59: [INFO] Routing SW30 with D30
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW30:2' at (288290000, 75882500) with pad 'D30:2' at (290830000, 83562500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(288290000, 75882500), (288290000, 81022500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(288290000, 81022500), (290830000, 83562500)]
13:41:59: [INFO] Routing SW29 with D29
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW29:2' at (307340000, 80645000) with pad 'D29:2' at (309880000, 88325000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(307340000, 80645000), (307340000, 85785000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(307340000, 85785000), (309880000, 88325000)]
13:41:59: [INFO] Routing SW28 with D28
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW28:2' at (212090000, 42545000) with pad 'D28:2' at (214630000, 50225000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(212090000, 42545000), (212090000, 47685000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(212090000, 47685000), (214630000, 50225000)]
13:41:59: [INFO] Routing SW27 with D27
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW27:2' at (231140000, 37782500) with pad 'D27:2' at (233680000, 45462500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(231140000, 37782500), (231140000, 42922500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(231140000, 42922500), (233680000, 45462500)]
13:41:59: [INFO] Routing SW26 with D26
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW26:2' at (250190000, 33020000) with pad 'D26:2' at (252730000, 40700000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(250190000, 33020000), (250190000, 38160000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(250190000, 38160000), (252730000, 40700000)]
13:41:59: [INFO] Routing SW25 with D25
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW25:2' at (269240000, 42545000) with pad 'D25:2' at (271780000, 50225000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(269240000, 42545000), (269240000, 47685000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(269240000, 47685000), (271780000, 50225000)]
13:41:59: [INFO] Routing SW24 with D24
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW24:2' at (288290000, 56832500) with pad 'D24:2' at (290830000, 64512500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(288290000, 56832500), (288290000, 61972500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(288290000, 61972500), (290830000, 64512500)]
13:41:59: [INFO] Routing SW23 with D23
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW23:2' at (307340000, 61595000) with pad 'D23:2' at (309880000, 69275000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(307340000, 61595000), (307340000, 66735000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(307340000, 66735000), (309880000, 69275000)]
13:41:59: [INFO] Routing SW22 with D22
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW22:2' at (154940000, 109220000) with pad 'D22:2' at (157480000, 116900000) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(154940000, 109220000), (154940000, 114360000)]
13:41:59: [INFO] Adding track segment (B.Cu): [(154940000, 114360000), (157480000, 116900000)]
13:41:59: [INFO] Routing SW21 with D21
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW21:2' at (135890000, 104457500) with pad 'D21:2' at (138430000, 112137500) using coordinate system rotated by 0 degree(s)
13:41:59: [INFO] Adding track segment (B.Cu): [(135890000, 104457500), (135890000, 109597500)]
13:41:59: [INFO] Adding track segment (B.Cu): [(135890000, 109597500), (138430000, 112137500)]
13:41:59: [INFO] Routing SW20 with D20
13:41:59: [INFO] Using internal autorouter method
13:41:59: [INFO] Routing pad 'SW20:2' at (116840000, 104457500) with pad 'D20:2' at (119380000, 112137500) using coordinate system rotated by 0 degree(s)
