=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:54: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0B2JBfANHcTsAmAHQDsyyAGbBcXcAFhsovNOtoF1sAoMKWHELoCeAJ6DKI+gGNB4AMRplK8DjwFKdOBDnxFMw0bX0mtU0W2NsAZitMG97EisA2Gm+wAOK2m++PCwBOJx8LNG1deQUAQzj4qwB3QUJ1awQWNipsLW4+CGh4YQx6ZPgEFCx6GxzI8D08BSNjNJrzPBrCKxq7auxHPpd6dy7h7Aj6Pwm8P1GO7BC+sPnpiDLEStbsV1YyBFrcAsEK0XrolVVS45RCU4ALFNKu8sr6O+fEekgPgFopW7ShG2u1I+y4vH4hSE0jwDUU8QSVxeGEBBx0Z30TWaclR7XAQLm+NsViBAzwQKGeHcvSp2wCrgCNKJi3J-kOGMaF2USRSNyqrJ2WVBaKO8CkpzhWOaJnmgtYYPAeX4koRcR5LwB9H2mVYQPaUUx2Jx9AINhBerqUPFsmiqpi6uhmrw2vNIo5BmxMvACq1ll9TP2ZO9zk8QfcGQCEcm-Ss+xZBsadodxX5wa8IJqWnZVteeHWFRRvvTQradUlRq9BAYGY8StF0JKsNtqodFSd4GoOrYTCz6PzfLSHBBPbq-fb1BIQpH7PLnqRcFcA7GSGHbpVLfnbdT1GrU7dY+33lXvbW13HC2Po7Ph5Xe9yEPrKfoEjFMPA-cPXbIZisQ73+vfa5D0nVgfxnaIK3nNA0ncW9QMCdF1wRVtNnoahi3gvFqCCVcAI-QdnFwxUHwEIo3w-egABNBAAFwAJwAVwAUzSVdCT-eC5lPF5gLYssILnPNBGg5c+PAzEk03VC8HQsSZIvPcuMAniqNoxiWPoPjOE4IA
13:33:59: [INFO] Placing additional elements for SW62
13:33:59: [INFO] Placing additional elements for SW61
13:33:59: [INFO] Placing additional elements for SW60
13:33:59: [INFO] Placing additional elements for SW59
13:33:59: [INFO] Placing additional elements for SW58
13:33:59: [INFO] Placing additional elements for SW57
13:33:59: [INFO] Placing additional elements for SW56
13:33:59: [INFO] Placing additional elements for SW55
13:33:59: [INFO] Placing additional elements for SW54
13:33:59: [INFO] Placing additional elements for SW53
13:33:59: [INFO] Placing additional elements for SW52a
13:33:59: [INFO] Placing additional elements for SW52
13:33:59: [INFO] Placing additional elements for SW51
13:33:59: [INFO] Placing additional elements for SW50
13:33:59: [INFO] Placing additional elements for SW49
13:33:59: [INFO] Placing additional elements for SW48
13:33:59: [INFO] Placing additional elements for SW47
13:33:59: [INFO] Placing additional elements for SW46
13:33:59: [INFO] Placing additional elements for SW45
13:33:59: [INFO] Placing additional elements for SW44
13:33:59: [INFO] Placing additional elements for SW43a
13:33:59: [INFO] Placing additional elements for SW43
13:33:59: [INFO] Placing additional elements for SW42
13:33:59: [INFO] Placing additional elements for SW41
13:33:59: [INFO] Placing additional elements for SW40
13:33:59: [INFO] Placing additional elements for SW39
13:33:59: [INFO] Placing additional elements for SW38
13:33:59: [INFO] Placing additional elements for SW37
13:33:59: [INFO] Placing additional elements for SW36
13:33:59: [INFO] Placing additional elements for SW35
13:33:59: [INFO] Placing additional elements for SW34
13:33:59: [INFO] Placing additional elements for SW33
13:33:59: [INFO] Placing additional elements for SW32
13:33:59: [INFO] Placing additional elements for SW31a
13:33:59: [INFO] Placing additional elements for SW31
13:33:59: [INFO] Placing additional elements for SW30
13:33:59: [INFO] Placing additional elements for SW29
13:33:59: [INFO] Placing additional elements for SW28
13:33:59: [INFO] Placing additional elements for SW27
13:33:59: [INFO] Placing additional elements for SW26
13:33:59: [INFO] Placing additional elements for SW25
13:33:59: [INFO] Placing additional elements for SW24
13:33:59: [INFO] Placing additional elements for SW23
13:33:59: [INFO] Placing additional elements for SW22a
13:33:59: [INFO] Placing additional elements for SW22
13:33:59: [INFO] Placing additional elements for SW21
13:33:59: [INFO] Placing additional elements for SW20
13:33:59: [INFO] Placing additional elements for SW19
13:33:59: [INFO] Placing additional elements for SW18
13:33:59: [INFO] Placing additional elements for SW17
13:33:59: [INFO] Placing additional elements for SW16
13:33:59: [INFO] Placing additional elements for SW15
13:33:59: [INFO] Placing additional elements for SW14a
13:33:59: [INFO] Placing additional elements for SW14
13:33:59: [INFO] Placing additional elements for SW13
13:33:59: [INFO] Placing additional elements for SW12
13:33:59: [INFO] Placing additional elements for SW11
13:33:59: [INFO] Placing additional elements for SW10
13:33:59: [INFO] Placing additional elements for SW9
13:33:59: [INFO] Placing additional elements for SW8a
13:33:59: [INFO] Placing additional elements for SW8
13:33:59: [INFO] Placing additional elements for SW7a
13:33:59: [INFO] Placing additional elements for SW7
13:33:59: [INFO] Placing additional elements for SW6a
13:33:59: [INFO] Placing additional elements for SW6
13:33:59: [INFO] Placing additional elements for SW5a
13:33:59: [INFO] Placing additional elements for SW5
13:33:59: [INFO] Placing additional elements for SW4
13:33:59: [INFO] Placing additional elements for SW3a
13:33:59: [INFO] Placing additional elements for SW3
13:33:59: [INFO] Placing additional elements for SW2a
13:33:59: [INFO] Placing additional elements for SW2
13:33:59: [INFO] Placing additional elements for SW1a
13:33:59: [INFO] Placing additional elements for SW1
13:33:59: [INFO] Routing SW64 with D64
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW64:2' at (274002500, 128270000) with pad 'D64:2' at (276542500, 135950000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(274002500, 128270000), (274002500, 133410000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(274002500, 133410000), (276542500, 135950000)]
13:33:59: [INFO] Routing SW63 with D63
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW63:2' at (250190000, 71120000) with pad 'D63:2' at (252730000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(250190000, 71120000), (250190000, 76260000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(250190000, 76260000), (252730000, 78800000)]
13:33:59: [INFO] Routing SW62 with D62
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW62:2' at (259715000, 90170000) with pad 'D62:2' at (262255000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(259715000, 90170000), (259715000, 95310000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(259715000, 95310000), (262255000, 97850000)]
13:33:59: [INFO] Routing SW61 with D61
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW61:2' at (264477500, 109220000) with pad 'D61:2' at (267017500, 116900000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(264477500, 109220000), (264477500, 114360000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(264477500, 114360000), (267017500, 116900000)]
13:33:59: [INFO] Routing SW60 with D60
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW60:2' at (293052500, 128270000) with pad 'D60:2' at (295592500, 135950000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(293052500, 128270000), (293052500, 133410000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(293052500, 133410000), (295592500, 135950000)]
13:33:59: [INFO] Routing SW59 with D59
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW59:2' at (283527500, 109220000) with pad 'D59:2' at (286067500, 116900000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(283527500, 109220000), (283527500, 114360000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(283527500, 114360000), (286067500, 116900000)]
13:33:59: [INFO] Routing SW58 with D58
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW58:2' at (278765000, 90170000) with pad 'D58:2' at (281305000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(278765000, 90170000), (278765000, 95310000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(278765000, 95310000), (281305000, 97850000)]
13:33:59: [INFO] Routing SW57 with D57
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW57:2' at (269240000, 71120000) with pad 'D57:2' at (271780000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(269240000, 71120000), (269240000, 76260000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(269240000, 76260000), (271780000, 78800000)]
13:33:59: [INFO] Routing SW56 with D56
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW56:2' at (254952500, 128270000) with pad 'D56:2' at (257492500, 135950000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(254952500, 128270000), (254952500, 133410000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(254952500, 133410000), (257492500, 135950000)]
13:33:59: [INFO] Routing SW55 with D55
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW55:2' at (231140000, 71120000) with pad 'D55:2' at (233680000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(231140000, 71120000), (231140000, 76260000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(231140000, 76260000), (233680000, 78800000)]
13:33:59: [INFO] Routing SW54 with D54
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW54:2' at (240665000, 90170000) with pad 'D54:2' at (243205000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(240665000, 90170000), (240665000, 95310000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(240665000, 95310000), (243205000, 97850000)]
13:33:59: [INFO] Routing SW53 with D53
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW53:2' at (245427500, 109220000) with pad 'D53:2' at (247967500, 116900000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(245427500, 109220000), (245427500, 114360000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(245427500, 114360000), (247967500, 116900000)]
13:33:59: [INFO] Routing SW52a with D52
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW52a:2' at (231140000, 147320000) with pad 'D52:2' at (221773750, 155000000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Routing SW52 with D52
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW52:2' at (219233750, 147320000) with pad 'D52:2' at (221773750, 155000000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(219233750, 147320000), (219233750, 152460000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(219233750, 152460000), (221773750, 155000000)]
13:33:59: [INFO] Routing SW51 with D51
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW51:2' at (235902500, 128270000) with pad 'D51:2' at (238442500, 135950000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(235902500, 128270000), (235902500, 133410000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(235902500, 133410000), (238442500, 135950000)]
13:33:59: [INFO] Routing SW50 with D50
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW50:2' at (226377500, 109220000) with pad 'D50:2' at (228917500, 116900000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(226377500, 109220000), (226377500, 114360000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(226377500, 114360000), (228917500, 116900000)]
13:33:59: [INFO] Routing SW49 with D49
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW49:2' at (221615000, 90170000) with pad 'D49:2' at (224155000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(221615000, 90170000), (221615000, 95310000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(221615000, 95310000), (224155000, 97850000)]
13:33:59: [INFO] Routing SW48 with D48
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW48:2' at (212090000, 71120000) with pad 'D48:2' at (214630000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(212090000, 71120000), (212090000, 76260000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(212090000, 76260000), (214630000, 78800000)]
13:33:59: [INFO] Routing SW47 with D47
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW47:2' at (364490000, 128270000) with pad 'D47:2' at (367030000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(364490000, 128270000), (364490000, 133410000)]
13:33:59: [INFO] Adding track segment (B.Cu): [(364490000, 133410000), (367030000, 135950000)]
13:33:59: [INFO] Routing SW46 with D46
13:33:59: [INFO] Using internal autorouter method
13:33:59: [INFO] Routing pad 'SW46:2' at (121602500, 128270000) with pad 'D46:2' at (124142500, 135950000) using coordinate system rotated by 0 degree(s)
13:33:59: [INFO] Adding track segment (B.Cu): [(121602500, 128270000), (121602500, 133410000)]
