=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:52: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOVdANm3AF0UAoMKWOAFjXAE9GBaDAOkIHYSmFE1xx8jUkPKjqdCfABMrDvG49+AViFZFYhXACMGaSj1z6BOJpVdehYqyyb9DeE1MuLBw7bX3BJxRDVytDRVMQ73Y7DW0gjFDGQw9WckToqwQ-OHUHIV8cPDc4CKDSJKVTCuKrMvR+CkzGFnRVXICCkUq4KVZG2VpLRmU22K0uvVrkk36zKiGDGzH-Pkd0Xxdp9yFGr0WS3xWOvkCN4J7w3Yvo9vUJ1l9E7aNUhpQMg6ycvPXwZSK4hK9XAvhqQLq13BBhBhCaXxaP06rGUohefXQcMG8mBSLiQmUUwhMyEcPMCPgyxiq3yKJQW2JO1YcP2OLCeIEBIuLyuzJuBzuvAe6GUz0Zr1JHwWbMY2WOvyE2UBMK50OBkrVkNYAE54TL3ByzuBsmjxRjwLrscMlHjhcb5jzZuhdeT9dYOX9sgyDG8LfTpdajIbFdzxbznfycYL8axsmKfL7dZ83eR5fZPShNSMhLqKs0lDwqdHDEIWIDwCxTQZ+DwnaCsKb63rA0dqSdtUIbCEeSDDL4ohTmIW8drfSxvSVNLWCs4A9WOa2AM4AW0Y4AATgB7AAuAH0AKYAYz74E7mYAOgA7K8369329X-di0Fgh-39+3-cDt1TouxQhUiua6nqwLBZvACDTo8WB5gKsS+jYRLgDYDLId0joFL4SF9v6jy+FaPhnsqhy9oUVCUEAA
13:27:54: [INFO] Add SW25 footprint
13:27:54: [INFO] Add D25 footprint
13:27:54: [INFO] Add SW26 footprint
13:27:54: [INFO] Add D26 footprint
13:27:54: [INFO] Add SW27 footprint
13:27:54: [INFO] Add D27 footprint
13:27:54: [INFO] Add SW28 footprint
13:27:54: [INFO] Add D28 footprint
13:27:54: [INFO] Add SW29 footprint
13:27:54: [INFO] Add D29 footprint
13:27:54: [INFO] Add SW30 footprint
13:27:54: [INFO] Add D30 footprint
13:27:54: [INFO] Add SW31 footprint
13:27:54: [INFO] Add D31 footprint
13:27:54: [INFO] Add SW32 footprint
13:27:54: [INFO] Add D32 footprint
13:27:54: [INFO] Add SW33 footprint
13:27:54: [INFO] Add D33 footprint
13:27:54: [INFO] Add SW34 footprint
13:27:55: [INFO] Add D34 footprint
13:27:55: [INFO] Add SW35 footprint
13:27:55: [INFO] Add D35 footprint
13:27:55: [INFO] Add SW36 footprint
13:27:55: [INFO] Add D36 footprint
13:27:55: [INFO] Add SW37 footprint
13:27:55: [INFO] Add D37 footprint
13:27:55: [INFO] Add SW38 footprint
13:27:55: [INFO] Add D38 footprint
13:27:55: [INFO] Add SW39 footprint
13:27:55: [INFO] Add D39 footprint
13:27:55: [INFO] Add SW40 footprint
13:27:55: [INFO] Add D40 footprint
13:27:55: [INFO] Add SW41 footprint
13:27:55: [INFO] Add D41 footprint
13:27:55: [INFO] Add SW42 footprint
13:27:55: [INFO] Add D42 footprint
13:27:55: [INFO] Add SW43 footprint
13:27:55: [INFO] Add D43 footprint
13:27:55: [INFO] Add SW44 footprint
13:27:55: [INFO] Add D44 footprint
13:27:55: [INFO] Add SW45 footprint
13:27:55: [INFO] Add D45 footprint
13:27:55: [INFO] Add SW46 footprint
13:27:55: [INFO] Add D46 footprint
13:27:55: [INFO] Add SW47 footprint
13:27:55: [INFO] Add D47 footprint
13:27:55: [INFO] Add SW48 footprint
13:27:55: [INFO] Add D48 footprint
13:27:55: [INFO] Add SW49 footprint
13:27:55: [INFO] Add D49 footprint
13:27:55: [INFO] Add SW50 footprint
13:27:55: [INFO] Add D50 footprint
13:27:55: [INFO] Add SW51 footprint
13:27:55: [INFO] Add D51 footprint
13:27:56: [INFO] Add SW52 footprint
13:27:56: [INFO] Add D52 footprint
13:27:56: [INFO] Add SW53 footprint
13:27:56: [INFO] Add D53 footprint
13:27:56: [INFO] Add SW54 footprint
13:27:56: [INFO] Add D54 footprint
13:27:56: [INFO] Add SW55 footprint
13:27:56: [INFO] Add D55 footprint
13:27:56: [INFO] Add SW56 footprint
13:27:56: [INFO] Add D56 footprint
13:27:56: [INFO] Add SW57 footprint
13:27:56: [INFO] Add D57 footprint
13:27:56: [INFO] Add SW58 footprint
13:27:56: [INFO] Add D58 footprint
13:27:56: [INFO] Add SW59 footprint
13:27:56: [INFO] Add D59 footprint
13:27:56: [INFO] Add SW60 footprint
13:27:56: [INFO] Add D60 footprint
13:27:56: [INFO] Add SW61 footprint
13:27:56: [INFO] Add D61 footprint
13:27:56: [INFO] Add SW62 footprint
13:27:56: [INFO] Add D62 footprint
13:27:56: [INFO] Add SW63 footprint
13:27:56: [INFO] Add D63 footprint
13:27:56: [INFO] Add SW64 footprint
13:27:56: [INFO] Add D64 footprint
13:27:56: [INFO] Add SW65 footprint
13:27:56: [INFO] Add D65 footprint
13:27:56: [INFO] Add SW66 footprint
13:27:56: [INFO] Add D66 footprint
13:27:56: [INFO] Add SW67 footprint
13:27:56: [INFO] Add D67 footprint
13:27:56: [INFO] Add SW68 footprint
13:27:56: [INFO] Add D68 footprint
13:27:56: [INFO] Add SW69 footprint
13:27:57: [INFO] Add D69 footprint
13:27:57: [INFO] Add SW70 footprint
13:27:57: [INFO] Add D70 footprint
13:27:57: [INFO] Add SW71 footprint
13:27:57: [INFO] Add D71 footprint
13:27:57: [INFO] Add SW72 footprint
13:27:57: [INFO] Add D72 footprint
13:27:57: [INFO] Add SW73 footprint
13:27:57: [INFO] Add D73 footprint
13:27:57: [INFO] Add SW74 footprint
13:27:57: [INFO] Add D74 footprint
13:27:57: [INFO] Add SW75 footprint
13:27:57: [INFO] Add D75 footprint
13:27:57: [INFO] Add SW76 footprint
13:27:57: [INFO] Add D76 footprint
13:27:57: [INFO] Detected layout convertible to matrix annotated keyboard
13:27:57: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:27:57: [INFO] Layout offset: (28575000, 28575000)
13:27:57: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:27:57: [INFO] Placing additional elements for SW76
13:27:57: [INFO] Placing additional elements for SW75
13:27:57: [INFO] Placing additional elements for SW74
13:27:57: [INFO] Placing additional elements for SW73
13:27:57: [INFO] Placing additional elements for SW72
13:27:57: [INFO] Placing additional elements for SW71
13:27:57: [INFO] Placing additional elements for SW70
13:27:57: [INFO] Placing additional elements for SW69
13:27:57: [INFO] Placing additional elements for SW68
13:27:57: [INFO] Placing additional elements for SW67
13:27:57: [INFO] Placing additional elements for SW66
13:27:57: [INFO] Placing additional elements for SW65
13:27:57: [INFO] Placing additional elements for SW64
13:27:57: [INFO] Placing additional elements for SW63
13:27:57: [INFO] Placing additional elements for SW62
13:27:57: [INFO] Placing additional elements for SW61
13:27:57: [INFO] Placing additional elements for SW60
13:27:57: [INFO] Placing additional elements for SW59
13:27:57: [INFO] Placing additional elements for SW58
13:27:57: [INFO] Placing additional elements for SW57
13:27:57: [INFO] Placing additional elements for SW56
13:27:57: [INFO] Placing additional elements for SW55
13:27:57: [INFO] Placing additional elements for SW54
13:27:57: [INFO] Placing additional elements for SW53
13:27:57: [INFO] Placing additional elements for SW52
13:27:57: [INFO] Placing additional elements for SW51
13:27:57: [INFO] Placing additional elements for SW50
13:27:57: [INFO] Placing additional elements for SW49
13:27:57: [INFO] Placing additional elements for SW48
13:27:57: [INFO] Placing additional elements for SW47
13:27:57: [INFO] Placing additional elements for SW46
13:27:57: [INFO] Placing additional elements for SW45
13:27:57: [INFO] Placing additional elements for SW44
13:27:57: [INFO] Placing additional elements for SW43
13:27:57: [INFO] Placing additional elements for SW42
13:27:57: [INFO] Placing additional elements for SW41
13:27:57: [INFO] Placing additional elements for SW40
13:27:57: [INFO] Placing additional elements for SW39
13:27:57: [INFO] Placing additional elements for SW38
13:27:57: [INFO] Placing additional elements for SW37
13:27:57: [INFO] Placing additional elements for SW36
13:27:57: [INFO] Placing additional elements for SW35
13:27:57: [INFO] Placing additional elements for SW34
13:27:57: [INFO] Placing additional elements for SW33
13:27:57: [INFO] Placing additional elements for SW32
13:27:57: [INFO] Placing additional elements for SW31
13:27:57: [INFO] Placing additional elements for SW30
13:27:57: [INFO] Placing additional elements for SW29
13:27:57: [INFO] Placing additional elements for SW28
13:27:57: [INFO] Placing additional elements for SW27
13:27:57: [INFO] Placing additional elements for SW26
13:27:57: [INFO] Placing additional elements for SW25
13:27:57: [INFO] Placing additional elements for SW24
13:27:57: [INFO] Placing additional elements for SW23
13:27:57: [INFO] Placing additional elements for SW22
13:27:57: [INFO] Placing additional elements for SW21
13:27:57: [INFO] Placing additional elements for SW20
13:27:57: [INFO] Placing additional elements for SW19
13:27:57: [INFO] Placing additional elements for SW18
13:27:57: [INFO] Placing additional elements for SW17
13:27:57: [INFO] Placing additional elements for SW16
13:27:57: [INFO] Placing additional elements for SW15
13:27:57: [INFO] Placing additional elements for SW14
13:27:57: [INFO] Placing additional elements for SW13
13:27:57: [INFO] Placing additional elements for SW12
13:27:57: [INFO] Placing additional elements for SW11
13:27:57: [INFO] Placing additional elements for SW10
13:27:57: [INFO] Placing additional elements for SW9
13:27:57: [INFO] Placing additional elements for SW8
13:27:57: [INFO] Placing additional elements for SW7
13:27:57: [INFO] Placing additional elements for SW6
13:27:57: [INFO] Placing additional elements for SW5
13:27:57: [INFO] Placing additional elements for SW4
13:27:57: [INFO] Placing additional elements for SW3
13:27:57: [INFO] Placing additional elements for SW2
13:27:57: [INFO] Placing additional elements for SW1
13:27:57: [INFO] Routing SW76 with D76
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW76:S2' at (197500000, 135612500) with pad 'D76:2' at (188080000, 138212500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(197500000, 135612500), (190680000, 135612500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(190680000, 135612500), (188080000, 138212500)]
13:27:57: [INFO] Routing SW75 with D75
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW75:2' at (307340000, 147320000) with pad 'D75:2' at (309880000, 155000000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(307340000, 147320000), (307340000, 152460000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(307340000, 152460000), (309880000, 155000000)]
13:27:57: [INFO] Routing SW74 with D74
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW74:2' at (326390000, 147320000) with pad 'D74:2' at (328930000, 155000000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(326390000, 147320000), (326390000, 152460000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(326390000, 152460000), (328930000, 155000000)]
13:27:57: [INFO] Routing SW73 with D73
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW73:2' at (307340000, 166370000) with pad 'D73:2' at (309880000, 174050000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(307340000, 166370000), (307340000, 171510000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(307340000, 171510000), (309880000, 174050000)]
13:27:57: [INFO] Routing SW72 with D72
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW72:2' at (288290000, 147320000) with pad 'D72:2' at (290830000, 155000000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(288290000, 147320000), (288290000, 152460000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(288290000, 152460000), (290830000, 155000000)]
13:27:57: [INFO] Routing SW71 with D71
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW71:2' at (307340000, 128270000) with pad 'D71:2' at (309880000, 135950000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(307340000, 128270000), (307340000, 133410000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(307340000, 133410000), (309880000, 135950000)]
13:27:57: [INFO] Routing SW70 with D70
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW70:2' at (221615000, 135890000) with pad 'D70:2' at (224155000, 143570000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(221615000, 135890000), (221615000, 141030000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(221615000, 141030000), (224155000, 143570000)]
13:27:57: [INFO] Routing SW69 with D69
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW69:2' at (240665000, 129413000) with pad 'D69:2' at (243205000, 137093000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(240665000, 129413000), (240665000, 134553000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(240665000, 134553000), (243205000, 137093000)]
13:27:57: [INFO] Routing SW68 with D68
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW68:2' at (259715000, 126365000) with pad 'D68:2' at (262255000, 134045000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(259715000, 126365000), (259715000, 131505000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(259715000, 131505000), (262255000, 134045000)]
13:27:57: [INFO] Routing SW67 with D67
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW67:2' at (278765000, 126365000) with pad 'D67:2' at (281305000, 134045000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(278765000, 126365000), (278765000, 131505000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(278765000, 131505000), (281305000, 134045000)]
13:27:57: [INFO] Routing SW66 with D66
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW66:2' at (212090000, 109220000) with pad 'D66:2' at (214630000, 116900000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(212090000, 109220000), (212090000, 114360000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(212090000, 114360000), (214630000, 116900000)]
13:27:57: [INFO] Routing SW65 with D65
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW65:2' at (231140000, 99695000) with pad 'D65:2' at (233680000, 107375000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(231140000, 99695000), (231140000, 104835000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(231140000, 104835000), (233680000, 107375000)]
13:27:57: [INFO] Routing SW64 with D64
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW64:2' at (250190000, 92646500) with pad 'D64:2' at (252730000, 100326500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(250190000, 92646500), (250190000, 97786500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(250190000, 97786500), (252730000, 100326500)]
13:27:57: [INFO] Routing SW63 with D63
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW63:2' at (269240000, 90170000) with pad 'D63:2' at (271780000, 97850000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(269240000, 90170000), (269240000, 95310000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(269240000, 95310000), (271780000, 97850000)]
13:27:57: [INFO] Routing SW62 with D62
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW62:2' at (288290000, 97409000) with pad 'D62:2' at (290830000, 105089000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(288290000, 97409000), (288290000, 102549000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(288290000, 102549000), (290830000, 105089000)]
13:27:57: [INFO] Routing SW61 with D61
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW61:2' at (307340000, 102171500) with pad 'D61:2' at (309880000, 109851500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(307340000, 102171500), (307340000, 107311500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(307340000, 107311500), (309880000, 109851500)]
13:27:57: [INFO] Routing SW60 with D60
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW60:2' at (326390000, 106934000) with pad 'D60:2' at (328930000, 114614000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(326390000, 106934000), (326390000, 112074000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(326390000, 112074000), (328930000, 114614000)]
13:27:57: [INFO] Routing SW59 with D59
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW59:2' at (212090000, 90170000) with pad 'D59:2' at (214630000, 97850000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(212090000, 90170000), (212090000, 95310000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(212090000, 95310000), (214630000, 97850000)]
13:27:57: [INFO] Routing SW58 with D58
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW58:2' at (231140000, 80645000) with pad 'D58:2' at (233680000, 88325000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(231140000, 80645000), (231140000, 85785000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(231140000, 85785000), (233680000, 88325000)]
13:27:57: [INFO] Routing SW57 with D57
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW57:2' at (250190000, 73596500) with pad 'D57:2' at (252730000, 81276500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(250190000, 73596500), (250190000, 78736500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(250190000, 78736500), (252730000, 81276500)]
